epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,20968.5,0.62356,0.55905,0.92708,0.81688,0.84624,0.87605,0.7226,0.81681,0.81051,1.11727,0.005842,0.005842,0.005842
44,21374.6,0.62647,0.56611,0.92429,0.81339,0.84552,0.87256,0.73167,0.79418,0.83108,1.09371,0.005743,0.005743,0.005743
45,21783.6,0.61948,0.55476,0.92048,0.86637,0.85524,0.88933,0.74257,0.83426,0.81467,1.12089,0.005644,0.005644,0.005644
46,22194,0.63344,0.55692,0.93019,0.8697,0.79921,0.87155,0.72856,0.8117,0.81879,1.10252,0.005545,0.005545,0.005545
47,22604.7,0.62974,0.54751,0.93307,0.81803,0.85758,0.89119,0.74712,0.79263,0.84794,1.093,0.005446,0.005446,0.005446
48,23014.3,0.61531,0.54439,0.91764,0.80929,0.89591,0.88291,0.74271,0.81514,0.70649,1.12488,0.005347,0.005347,0.005347
49,23426.6,0.59954,0.53143,0.91128,0.87988,0.8434,0.89005,0.75198,0.76308,0.73388,1.08145,0.005248,0.005248,0.005248
50,23815.4,0.60867,0.53525,0.91875,0.85702,0.8508,0.88391,0.72949,0.78086,0.7301,1.09261,0.005149,0.005149,0.005149
51,24214.9,0.60183,0.5187,0.92042,0.84615,0.8541,0.87149,0.72278,0.79272,0.7798,1.12303,0.00505,0.00505,0.00505
52,24627.6,0.59235,0.51338,0.91545,0.85764,0.852,0.86671,0.72046,0.81636,0.84493,1.14588,0.004951,0.004951,0.004951
53,24990,0.59741,0.50884,0.91665,0.83132,0.88718,0.87155,0.7285,0.79685,0.77456,1.10907,0.004852,0.004852,0.004852
54,25396.2,0.58622,0.49273,0.91462,0.84756,0.83998,0.85361,0.70653,0.834,0.81416,1.13809,0.004753,0.004753,0.004753
55,25761.2,0.58098,0.4875,0.90577,0.80952,0.85855,0.85456,0.72424,0.7798,0.81914,1.09954,0.004654,0.004654,0.004654
56,26160.1,0.58405,0.49138,0.91437,0.84707,0.82448,0.83908,0.70336,0.78719,0.8566,1.10583,0.004555,0.004555,0.004555
57,26543.1,0.57293,0.48427,0.90589,0.84351,0.85027,0.88217,0.7319,0.78204,0.78179,1.09059,0.004456,0.004456,0.004456
58,26938.3,0.58374,0.48207,0.90566,0.81994,0.84684,0.84402,0.70741,0.79242,0.83326,1.1224,0.004357,0.004357,0.004357
59,27333.8,0.57415,0.47859,0.90092,0.8237,0.83037,0.84709,0.71208,0.78461,0.91361,1.10484,0.004258,0.004258,0.004258
60,27730.3,0.57359,0.45459,0.90763,0.85462,0.84691,0.86447,0.73525,0.76124,0.81624,1.08608,0.004159,0.004159,0.004159
61,28123.3,0.55278,0.47109,0.90053,0.86116,0.89779,0.89218,0.7617,0.74585,0.69322,1.07794,0.00406,0.00406,0.00406
62,28519.2,0.5432,0.44386,0.88618,0.85053,0.85648,0.86029,0.72826,0.80204,0.75169,1.13157,0.003961,0.003961,0.003961
63,28910.7,0.54532,0.44064,0.89888,0.8533,0.85943,0.86698,0.73774,0.76158,0.81306,1.10054,0.003862,0.003862,0.003862
64,29303.7,0.56139,0.44893,0.90064,0.84695,0.88696,0.87788,0.74252,0.78693,0.77297,1.12272,0.003763,0.003763,0.003763
65,29699.4,0.55405,0.45028,0.90553,0.85448,0.85197,0.86484,0.7285,0.76327,0.79977,1.07361,0.003664,0.003664,0.003664
66,30095.8,0.54888,0.43758,0.90582,0.84202,0.89311,0.88753,0.75406,0.75785,0.68884,1.08736,0.003565,0.003565,0.003565
67,30489.4,0.53474,0.43673,0.89202,0.8328,0.88008,0.91309,0.76407,0.76884,0.64053,1.10549,0.003466,0.003466,0.003466
68,30883.2,0.52762,0.43021,0.8902,0.87921,0.86005,0.89132,0.75403,0.79211,0.77406,1.11795,0.003367,0.003367,0.003367
69,31275.8,0.53781,0.43089,0.89546,0.89353,0.861,0.90948,0.75794,0.78662,0.72354,1.12497,0.003268,0.003268,0.003268
70,31668.8,0.51811,0.41604,0.8879,0.8671,0.853,0.89908,0.75696,0.78082,0.68624,1.12027,0.003169,0.003169,0.003169
71,32061.7,0.52802,0.41683,0.88847,0.87978,0.82605,0.88903,0.75189,0.75682,0.71236,1.08667,0.00307,0.00307,0.00307
72,32457.5,0.52027,0.41148,0.88534,0.86458,0.86352,0.89822,0.75283,0.78523,0.68787,1.13324,0.002971,0.002971,0.002971
73,32853.3,0.52848,0.40734,0.88167,0.87827,0.85231,0.8952,0.75555,0.76112,0.72191,1.09927,0.002872,0.002872,0.002872
74,33271,0.51717,0.40239,0.88269,0.83478,0.8617,0.89012,0.75124,0.77937,0.70812,1.11576,0.002773,0.002773,0.002773
75,33691.5,0.51239,0.41093,0.89798,0.82039,0.91149,0.90378,0.76319,0.77663,0.66843,1.11176,0.002674,0.002674,0.002674
76,34093.7,0.51892,0.40906,0.8901,0.81968,0.88211,0.88953,0.74646,0.78698,0.75155,1.13402,0.002575,0.002575,0.002575
77,34498.4,0.49862,0.3904,0.86968,0.84946,0.86344,0.88174,0.75446,0.75441,0.70053,1.10953,0.002476,0.002476,0.002476
78,34901.4,0.49749,0.39502,0.88052,0.87047,0.85811,0.88952,0.75319,0.76198,0.75122,1.10487,0.002377,0.002377,0.002377
79,35306,0.49875,0.39679,0.87585,0.86458,0.87969,0.88886,0.75219,0.77855,0.72573,1.12508,0.002278,0.002278,0.002278
80,35711.5,0.50673,0.39442,0.88222,0.8302,0.89086,0.89397,0.7502,0.77786,0.71188,1.11447,0.002179,0.002179,0.002179
81,36113.9,0.49397,0.37844,0.87466,0.85441,0.87403,0.89249,0.74796,0.76595,0.70898,1.12504,0.00208,0.00208,0.00208
82,36517.9,0.48646,0.38771,0.87733,0.82374,0.89369,0.89352,0.7555,0.76217,0.66816,1.11836,0.001981,0.001981,0.001981
83,36923.1,0.49143,0.38448,0.87075,0.86228,0.86515,0.88895,0.75246,0.74988,0.70768,1.10531,0.001882,0.001882,0.001882
84,37328.4,0.47058,0.37095,0.86507,0.85366,0.87939,0.89546,0.75877,0.7788,0.70095,1.13161,0.001783,0.001783,0.001783
85,37734.1,0.47486,0.37256,0.87021,0.83711,0.87488,0.88911,0.76125,0.74183,0.70479,1.09449,0.001684,0.001684,0.001684
86,38143.8,0.46755,0.36915,0.86787,0.88194,0.83114,0.8901,0.76025,0.76384,0.72287,1.12703,0.001585,0.001585,0.001585
87,38550.5,0.45752,0.35177,0.86154,0.86118,0.81388,0.87167,0.74318,0.76219,0.79063,1.12314,0.001486,0.001486,0.001486
